State,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,Type
New Hampshire,3.6,3.8,3.8,3.7,3.9,3.8,4.1,3.9,4,4.1,4.3,4.4,4.8,5.1,Divorce
New Jersey,2.8,2.9,3,2.7,3,3,3,2.9,3,3.2,3.4,3.4,3,3,Divorce
New Mexico,3,3.3,4,3.9,4.1,4.2,4.3,4.6,4.6,5.2,4.4,4.9,5.1,4.6,Divorce
New York,2.9,2.9,2.9,2.6,2.8,2.9,3.1,2.9,3,3.2,3.4,3.5,3,3.3,Divorce
North Carolina,3.7,3.7,3.8,3.8,3.8,4,4,4.1,4.2,4.2,4.4,4.6,4.5,4.6,Divorce
North Dakota,3.1,2.7,3.1,2.8,2.9,2.9,3,2.9,3.1,2.9,2.9,2.9,3.4,4.4,Divorce
Ohio,3.4,3.4,3.4,3.3,3.3,3.4,3.5,3.5,3.6,3.7,4,4,4.2,3.9,Divorce
Oklahoma,4.8,5.2,5.2,4.8,5.3,5.2,5.3,5.6,4.9,---,---,---,---,---,Divorce
Oregon,3.8,3.8,4,3.9,3.9,3.9,4,4.2,4.1,4.3,4.6,4.8,4.8,4.6,Divorce
Pennsylvania,2.8,2.8,2.7,2.7,2.7,2.8,2.8,2.3,3,3.1,3.1,3.1,3.1,3.1,Divorce
Rhode Island,3.2,3.2,3.2,3,2.7,2.8,3,3,3.1,3.1,3.2,3.2,2.9,2.7,Divorce
South Carolina,3.2,3.2,3.1,3,2.8,3,2.9,2.9,3.2,3.3,3.4,3.6,3.8,3.8,Divorce
South Dakota,3,3.3,3.4,3.3,3.1,3.1,3.2,2.8,3.1,3,3.3,3.3,3.5,3.7,Divorce
Tennessee,4.2,4.3,4.2,3.9,4.2,4.3,4.6,4.6,4.9,5,5.1,5.2,5.9,5.8,Divorce
Texas,3,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.6,3.8,3.9,4,4,3.8,Divorce
Utah,3.3,3.7,3.7,3.7,3.8,3.7,3.9,4.1,4.1,4,4.1,4.2,4.3,4,Divorce
Vermont,3.5,3.6,3.8,3.5,3.6,3.6,3.8,3.6,3.9,4,4.2,4.3,4.1,4.4,Divorce
Virginia,3.7,3.8,3.8,3.7,3.8,3.8,4,4,3.9,4,4.2,4.2,4.3,4.4,Divorce
Washington,3.9,4.1,4.2,3.9,3.9,4,4.1,4.3,4.3,4.4,4.6,4.5,4.6,5,Divorce
West Virginia,4.7,5.2,5.1,5.1,4.8,5.1,5,5.1,5,5.2,5.2,5.2,5.1,4.9,Divorce
Wisconsin,2.9,2.9,3,2.9,3,2.9,3,2.9,3,3.1,3.2,3.2,3.2,3.2,Divorce
Wyoming,4.4,4.8,5.1,5.1,4.9,4.9,5.1,5.2,5.2,5.4,5.4,5.8,5.8,5.7,Divorce
National Average,3.4,3.6,3.6,3.5,3.5,3.6,3.7,3.6,3.7,3.8,3.9,4,4,4,Divorce
